schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T101817_blockE_8k,2026-07-05T10:18:43,2026-07-05T10:18:43,E,blockE,cold,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.5829,11.4398,8095,10555.428,47,856.345,766.9040042715463,54.88442158242297,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10555.428,""prompt_per_token_ms"":1.3039441630636195,""prompt_per_second"":766.9040042715463,""predicted_n"":47,""predicted_ms"":856.345,""predicted_per_token_ms"":18.220106382978724,""predicted_per_second"":54.88442158242297}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:18:54,2026-07-05T10:18:54,E,blockE,cold,2,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.4798,11.3489,8095,10454.455,47,868.526,774.311047299931,54.11467244503906,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10454.455,""prompt_per_token_ms"":1.2914706609017912,""prompt_per_second"":774.311047299931,""predicted_n"":47,""predicted_ms"":868.526,""predicted_per_token_ms"":18.47927659574468,""predicted_per_second"":54.11467244503906}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:19:06,2026-07-05T10:19:06,E,blockE,cold,3,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.4745,11.3087,8095,10449.696,47,833.641,774.663683996166,56.37918480497001,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10449.696,""prompt_per_token_ms"":1.2908827671402099,""prompt_per_second"":774.663683996166,""predicted_n"":47,""predicted_ms"":833.641,""predicted_per_token_ms"":17.73704255319149,""predicted_per_second"":56.37918480497001}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:19:17,2026-07-05T10:19:17,E,blockE,cold,4,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.3804,11.2068,8095,10355.636,47,825.71,781.6999361507106,56.92071066112799,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10355.636,""prompt_per_token_ms"":1.2792632489190858,""prompt_per_second"":781.6999361507106,""predicted_n"":47,""predicted_ms"":825.71,""predicted_per_token_ms"":17.568297872340427,""predicted_per_second"":56.92071066112799}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:19:28,2026-07-05T10:19:28,E,blockE,cold,5,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.3253,11.1398,8095,10300.796,47,813.835,785.8615974920773,57.75126407687061,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10300.796,""prompt_per_token_ms"":1.2724886967263744,""prompt_per_second"":785.8615974920773,""predicted_n"":47,""predicted_ms"":813.835,""predicted_per_token_ms"":17.31563829787234,""predicted_per_second"":57.75126407687061}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:19:39,2026-07-05T10:19:39,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q2,8101,35,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.2785,10.7878,8102,10254.049,33,508.779,790.1269049913843,64.86116761894654,8134,8102,"{""cache_n"":0,""prompt_n"":8102,""prompt_ms"":10254.049,""prompt_per_token_ms"":1.2656194766724267,""prompt_per_second"":790.1269049913843,""predicted_n"":33,""predicted_ms"":508.779,""predicted_per_token_ms"":15.417545454545454,""predicted_per_second"":64.86116761894654}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,28a6288250526ec6523389c57350b00c5e3841e4eef46b1a75c7f27d965f3282,1ad4953f4efba0906fc101fea00eba306d4eb476c0e4c42b57e15a5a5f431d62,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:19:49,2026-07-05T10:19:49,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q3,8097,31,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.272,10.35,8098,10247.402,6,77.394,790.2490797179618,77.52538956508255,8103,8098,"{""cache_n"":0,""prompt_n"":8098,""prompt_ms"":10247.402,""prompt_per_token_ms"":1.2654238083477403,""prompt_per_second"":790.2490797179618,""predicted_n"":6,""predicted_ms"":77.394,""predicted_per_token_ms"":12.899000000000001,""predicted_per_second"":77.52538956508255}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,939cf66267a195319a0a238592bb7b8f9c7254649d7aca50075286466714ad66,f4651412610ffd471cbee3b5dcb757ab66790f55ce08f5bc91530c1bd016d099,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:20:00,2026-07-05T10:20:00,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q4,8098,32,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.0926,10.2446,8099,10069.645,11,151.446,804.2984633519851,72.63314976955482,8109,8099,"{""cache_n"":0,""prompt_n"":8099,""prompt_ms"":10069.645,""prompt_per_token_ms"":1.2433195456229165,""prompt_per_second"":804.2984633519851,""predicted_n"":11,""predicted_ms"":151.446,""predicted_per_token_ms"":13.767818181818182,""predicted_per_second"":72.63314976955482}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,6c65269b021f484645ed687e1e46873887f9214f435487f5c2a613da3eda543c,b8648d028b979ab5bcfeb4ccf2a5c02936ba7362af9891c71062f016eb193fb9,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:20:10,2026-07-05T10:20:10,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q5,8096,30,9125,1,99,f16,f16,on,1,,0,42,0,1,64,10.1346,10.6106,8097,10107.595,31,475.397,801.0807714396947,65.20865718546816,8127,8097,"{""cache_n"":0,""prompt_n"":8097,""prompt_ms"":10107.595,""prompt_per_token_ms"":1.2483135729282449,""prompt_per_second"":801.0807714396947,""predicted_n"":31,""predicted_ms"":475.397,""predicted_per_token_ms"":15.335387096774193,""predicted_per_second"":65.20865718546816}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,105.15,0.0,3697,3744.8,3742.9,110,215.8,030c3835920f80a4e443e0a2a241ff81659e1a364e7eebd65587805e754ef434,828578801bb3028f21851e7b4f6758efd5ef461ee252b07513b5ff23e10648d9,results/raw/20260705T101817_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T101817_blockE_8k,2026-07-05T10:20:24,2026-07-05T10:20:24,E,blockE,disk_restore,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,1,,0,42,0,1,64,0.0814,0.9586,28,59.02,47,876.563,474.41545238902063,53.618507739888635,8141,8095,"{""cache_n"":8067,""prompt_n"":28,""prompt_ms"":59.02,""prompt_per_token_ms"":2.107857142857143,""prompt_per_second"":474.41545238902063,""predicted_n"":47,""predicted_ms"":876.563,""predicted_per_token_ms"":18.650276595744682,""predicted_per_second"":53.618507739888635}",PASS,True,PASS,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,doc_prefill,warm_read,blkE_8k_f16.bin,286989196,32.86,8067,29.681,286989196,8067,b9871,b9871,,WORKS,180.0,f16,f16,105.15,0.0,3697,3721.5,3716.1,4,215.5,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T101817_blockE_8k_restore.log,default(timed)/5(profile),111.1
