schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T102026_blockE_8k,2026-07-05T10:20:51,2026-07-05T10:20:51,E,blockE,cold,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3878,11.3442,8095,10363.231,52,955.929,781.1270442586873,54.39734540954402,8146,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10363.231,""prompt_per_token_ms"":1.280201482396541,""prompt_per_second"":781.1270442586873,""predicted_n"":52,""predicted_ms"":955.929,""predicted_per_token_ms"":18.38325,""predicted_per_second"":54.39734540954402}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:03,2026-07-05T10:21:03,E,blockE,cold,2,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3964,11.3527,8095,10372.085,52,955.839,780.4602449748533,54.40246736113508,8146,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10372.085,""prompt_per_token_ms"":1.2812952439777638,""prompt_per_second"":780.4602449748533,""predicted_n"":52,""predicted_ms"":955.839,""predicted_per_token_ms"":18.381519230769232,""predicted_per_second"":54.40246736113508}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:14,2026-07-05T10:21:14,E,blockE,cold,3,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3675,11.3277,8095,10343.259,52,959.65,782.6353376629165,54.18642213306934,8146,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10343.259,""prompt_per_token_ms"":1.2777342804200122,""prompt_per_second"":782.6353376629165,""predicted_n"":52,""predicted_ms"":959.65,""predicted_per_token_ms"":18.454807692307693,""predicted_per_second"":54.18642213306934}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:25,2026-07-05T10:21:25,E,blockE,cold,4,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3535,11.3039,8095,10329.291,52,949.901,783.693672682859,54.74254685488277,8146,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10329.291,""prompt_per_token_ms"":1.2760087708462013,""prompt_per_second"":783.693672682859,""predicted_n"":52,""predicted_ms"":949.901,""predicted_per_token_ms"":18.267326923076922,""predicted_per_second"":54.74254685488277}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:37,2026-07-05T10:21:37,E,blockE,cold,5,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.331,11.3315,8095,10306.91,52,999.902,785.3954288918793,52.00509649945694,8146,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10306.91,""prompt_per_token_ms"":1.2732439777640518,""prompt_per_second"":785.3954288918793,""predicted_n"":52,""predicted_ms"":999.902,""predicted_per_token_ms"":19.228884615384615,""predicted_per_second"":52.00509649945694}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:48,2026-07-05T10:21:48,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q2,8101,35,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3385,10.888,8102,10314.127,33,549.082,785.524552877815,60.10031288587133,8134,8102,"{""cache_n"":0,""prompt_n"":8102,""prompt_ms"":10314.127,""prompt_per_token_ms"":1.2730346827943717,""prompt_per_second"":785.524552877815,""predicted_n"":33,""predicted_ms"":549.082,""predicted_per_token_ms"":16.638848484848484,""predicted_per_second"":60.10031288587133}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,28a6288250526ec6523389c57350b00c5e3841e4eef46b1a75c7f27d965f3282,1ad4953f4efba0906fc101fea00eba306d4eb476c0e4c42b57e15a5a5f431d62,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:21:58,2026-07-05T10:21:58,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q3,8097,31,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3527,10.438,8098,10328.385,6,84.804,784.0528795160134,70.75137965190322,8103,8098,"{""cache_n"":0,""prompt_n"":8098,""prompt_ms"":10328.385,""prompt_per_token_ms"":1.2754241788095826,""prompt_per_second"":784.0528795160134,""predicted_n"":6,""predicted_ms"":84.804,""predicted_per_token_ms"":14.134,""predicted_per_second"":70.75137965190322}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,939cf66267a195319a0a238592bb7b8f9c7254649d7aca50075286466714ad66,f4651412610ffd471cbee3b5dcb757ab66790f55ce08f5bc91530c1bd016d099,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:22:09,2026-07-05T10:22:09,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q4,8098,32,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.3261,10.5008,8099,10303.215,11,174.157,786.0653203878595,63.161400345665115,8109,8099,"{""cache_n"":0,""prompt_n"":8099,""prompt_ms"":10303.215,""prompt_per_token_ms"":1.2721589085072231,""prompt_per_second"":786.0653203878595,""predicted_n"":11,""predicted_ms"":174.157,""predicted_per_token_ms"":15.832454545454546,""predicted_per_second"":63.161400345665115}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,6c65269b021f484645ed687e1e46873887f9214f435487f5c2a613da3eda543c,b8648d028b979ab5bcfeb4ccf2a5c02936ba7362af9891c71062f016eb193fb9,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:22:20,2026-07-05T10:22:20,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q5,8096,30,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,10.2706,10.8554,8097,10247.76,35,584.328,790.1238904892386,59.89786558234416,8131,8097,"{""cache_n"":0,""prompt_n"":8097,""prompt_ms"":10247.76,""prompt_per_token_ms"":1.2656243052982585,""prompt_per_second"":790.1238904892386,""predicted_n"":35,""predicted_ms"":584.328,""predicted_per_token_ms"":16.695085714285714,""predicted_per_second"":59.89786558234416}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,95.62,q8_0,q8_0,92.55,0.0,3110,3173.8,3171.9,111,215.8,5fa88b8dc1cd3f88094733124fc1e552710aec37cad968b9d2a5ee0ec322be29,6cfe73325824eed47bee9995024008d736c7aef8f196ae760d2193c6389af483,results/raw/20260705T102026_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T102026_blockE_8k,2026-07-05T10:22:33,2026-07-05T10:22:33,E,blockE,disk_restore,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,q8_0,q8_0,on,1,,0,42,0,1,64,0.0903,1.0989,28,67.948,52,1007.947,412.07982574910227,51.59001415749042,8146,8095,"{""cache_n"":8067,""prompt_n"":28,""prompt_ms"":67.948,""prompt_per_token_ms"":2.4267142857142856,""prompt_per_second"":412.07982574910227,""predicted_n"":52,""predicted_ms"":1007.947,""predicted_per_token_ms"":19.383596153846153,""predicted_per_second"":51.59001415749042}",PASS,True,PASS,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,doc_prefill,warm_read,blkE_8k_q8_0.bin,152529676,20.188,8067,14.031,152529676,8067,b9871,b9871,,WORKS,95.62,q8_0,q8_0,92.55,0.0,3110,3143.2,3140.0,5,215.6,15fe968c25c9fc2971daf92b346637f62995af8fd117f0f1b9c88eed437f1f65,e996b80119a52503ad0ef795d458df0e711228b2f60c7a042d83c73e4a08418f,results/raw/20260705T102026_blockE_8k_restore.log,default(timed)/5(profile),104.3
