schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T104051_blockE_8k,2026-07-05T10:41:16,2026-07-05T10:41:16,E,blockE,cold,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.4236,11.2421,8095,10397.821,47,817.889,778.5285013081107,57.46501053321417,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10397.821,""prompt_per_token_ms"":1.2844744904261889,""prompt_per_second"":778.5285013081107,""predicted_n"":47,""predicted_ms"":817.889,""predicted_per_token_ms"":17.401893617021276,""predicted_per_second"":57.46501053321417}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:41:27,2026-07-05T10:41:27,E,blockE,cold,2,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.4108,11.2267,8095,10386.372,47,815.332,779.386680931513,57.6452291827133,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10386.372,""prompt_per_token_ms"":1.2830601605929586,""prompt_per_second"":779.386680931513,""predicted_n"":47,""predicted_ms"":815.332,""predicted_per_token_ms"":17.347489361702127,""predicted_per_second"":57.6452291827133}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:41:39,2026-07-05T10:41:39,E,blockE,cold,3,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3967,11.242,8095,10372.146,47,844.819,780.455654982103,55.6332184763837,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10372.146,""prompt_per_token_ms"":1.2813027794935146,""prompt_per_second"":780.455654982103,""predicted_n"":47,""predicted_ms"":844.819,""predicted_per_token_ms"":17.97487234042553,""predicted_per_second"":55.6332184763837}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:41:50,2026-07-05T10:41:50,E,blockE,cold,4,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3625,11.201,8095,10338.05,47,837.94,783.0296816130702,56.089934840203355,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10338.05,""prompt_per_token_ms"":1.2770907967881406,""prompt_per_second"":783.0296816130702,""predicted_n"":47,""predicted_ms"":837.94,""predicted_per_token_ms"":17.828510638297875,""predicted_per_second"":56.089934840203355}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:42:01,2026-07-05T10:42:01,E,blockE,cold,5,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3318,11.2135,8095,10307.327,47,881.164,785.3636544178719,53.3385385694377,8141,8095,"{""cache_n"":0,""prompt_n"":8095,""prompt_ms"":10307.327,""prompt_per_token_ms"":1.273295491043854,""prompt_per_second"":785.3636544178719,""predicted_n"":47,""predicted_ms"":881.164,""predicted_per_token_ms"":18.748170212765956,""predicted_per_second"":53.3385385694377}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:42:12,2026-07-05T10:42:12,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q2,8101,35,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3635,10.8649,8102,10339.024,33,501.044,783.6329618733838,65.86247914354827,8134,8102,"{""cache_n"":0,""prompt_n"":8102,""prompt_ms"":10339.024,""prompt_per_token_ms"":1.2761076277462353,""prompt_per_second"":783.6329618733838,""predicted_n"":33,""predicted_ms"":501.044,""predicted_per_token_ms"":15.183151515151515,""predicted_per_second"":65.86247914354827}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,28a6288250526ec6523389c57350b00c5e3841e4eef46b1a75c7f27d965f3282,1ad4953f4efba0906fc101fea00eba306d4eb476c0e4c42b57e15a5a5f431d62,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:42:22,2026-07-05T10:42:22,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q3,8097,31,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3374,10.4165,8098,10312.778,6,78.734,785.2394379089708,76.20595930601775,8103,8098,"{""cache_n"":0,""prompt_n"":8098,""prompt_ms"":10312.778,""prompt_per_token_ms"":1.2734969128179798,""prompt_per_second"":785.2394379089708,""predicted_n"":6,""predicted_ms"":78.734,""predicted_per_token_ms"":13.122333333333332,""predicted_per_second"":76.20595930601775}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,939cf66267a195319a0a238592bb7b8f9c7254649d7aca50075286466714ad66,f4651412610ffd471cbee3b5dcb757ab66790f55ce08f5bc91530c1bd016d099,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:42:33,2026-07-05T10:42:33,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q4,8098,32,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3027,10.4531,8099,10278.812,11,149.796,787.9315236040896,73.433202488718,8109,8099,"{""cache_n"":0,""prompt_n"":8099,""prompt_ms"":10278.812,""prompt_per_token_ms"":1.2691458204716632,""prompt_per_second"":787.9315236040896,""predicted_n"":11,""predicted_ms"":149.796,""predicted_per_token_ms"":13.617818181818182,""predicted_per_second"":73.433202488718}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,6c65269b021f484645ed687e1e46873887f9214f435487f5c2a613da3eda543c,b8648d028b979ab5bcfeb4ccf2a5c02936ba7362af9891c71062f016eb193fb9,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:42:44,2026-07-05T10:42:44,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q5,8096,30,9125,1,99,f16,f16,on,0,,0,42,0,1,64,10.3307,10.8176,8097,10304.233,31,486.365,785.7935665856934,63.73813905194659,8127,8097,"{""cache_n"":0,""prompt_n"":8097,""prompt_ms"":10304.233,""prompt_per_token_ms"":1.2725988637767074,""prompt_per_second"":785.7935665856934,""predicted_n"":31,""predicted_ms"":486.365,""predicted_per_token_ms"":15.689193548387097,""predicted_per_second"":63.73813905194659}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,180.0,f16,f16,97.65,0.0,2819,2980.9,2968.6,110,215.8,030c3835920f80a4e443e0a2a241ff81659e1a364e7eebd65587805e754ef434,828578801bb3028f21851e7b4f6758efd5ef461ee252b07513b5ff23e10648d9,results/raw/20260705T104051_blockE_8k_cold.log,default(timed)/5(profile),
1.1,20260705T104051_blockE_8k,2026-07-05T10:43:08,2026-07-05T10:43:08,E,blockE,disk_restore,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Gemma-3-4B-it-Q4_K_M,4996030242583a40aa151ff93f49ed787ac8c25e4120c3ae4588b2e2a7d1ae94,8k,8192,q1,8094,28,9125,1,99,f16,f16,on,0,,0,42,0,1,64,0.8362,1.6431,517,812.196,47,806.189,636.5458583888618,58.2989844813065,8141,8095,"{""cache_n"":7578,""prompt_n"":517,""prompt_ms"":812.196,""prompt_per_token_ms"":1.5709787234042554,""prompt_per_second"":636.5458583888618,""predicted_n"":47,""predicted_ms"":806.189,""predicted_per_token_ms"":17.15295744680851,""predicted_per_second"":58.2989844813065}",FAIL,False,PASS,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,doc_prefill,warm_read,blkE_8k_f16.bin,286989196,33.057,8067,39.075,286989196,8067,b9871,b9871,,SILENTLY-INEFFECTIVE,180.0,f16,f16,97.65,0.0,2819,2996.3,2931.5,18,215.5,f76e59db944c516ede411e0b8381789ed82b5f3cf64e26537e6c8b3044867958,eebf61d1b7122f99facaab166b6e961b070606ad2e309860258e5998854b27d3,results/raw/20260705T104051_blockE_8k_restore.log,default(timed)/5(profile),875.3
